"variable","GROUP","concept","value","periode_group","time","siteid"
"C67","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C71","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C73","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C76","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C77","NO_ARDS_sup_49","DIAG-ICD10",9,"all","all","FRBDX"
"C78","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C78","NO_ARDS_sup_49","DIAG-ICD10",16,"all","all","FRBDX"
"C78","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C79","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C79","NO_ARDS_sup_49","DIAG-ICD10",13,"all","all","FRBDX"
"C79","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C80","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C82","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C82","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C83","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C83","NO_ARDS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"C85","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C88","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C90","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C90","NO_ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"C91","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C91","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C91","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C92","NO_ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
